id;name;detail;type;purpose;creation_date;last_updated
1;payment;Customer;INTEGRATED;MASKING;2021-08-17T01:57:46;2021-08-17T20:03:03
2;Customer-focused;Secured indexing;OTHER;PROFILING;2021-08-17T02:08:08;2021-08-17T14:06:29
3;regional;strategize;STAGING;PROFILING;2021-08-17T22:51:52;2021-08-17T18:32:16
4;Mobility leverage partnerships;Incredible users;TESTING;REPORTING;2021-08-17T04:27:28;2021-08-17T02:00:48
5;Hampshire;SQL;TESTING;MASKING;2021-08-17T04:13:52;2021-08-17T01:08:49
6;Assurance Pizza;Handcrafted;STANDALONE;PROFILING;2021-08-17T06:57:39;2021-08-17T20:42:55
7;Gorgeous USB;Unbranded Avon;PRODUCTION;PROFILING;2021-08-17T07:36:26;2021-08-17T20:30:17
8;invoice;disintermediate Senior North;TESTING;MASKING;2021-08-17T18:34:03;2021-08-17T19:05:59
9;Functionality;Coordinator Italy;PRODUCTION;PROFILING;2021-08-17T21:58:09;2021-08-17T14:51:04
10;IB invoice Germany;Agent Beauty;PRODUCTION;REPORTING;2021-08-17T03:37:43;2021-08-17T07:21:52
