id;name;detail;recognizer_name;supported_lang;pattern_name;regex;score;context;deny_list;supported_entity;creation_date;last_updated
1;Oregon;Programmable Planner;contextually-based Soap;Shoes attitude dedicated;Soft firewall Circle;connect feed;8127;Pants Unbranded;Fantastic well-modulated;Incredible;2021-08-17T19:58:09;2021-08-17T02:47:18
2;drive;Alabama Small Agent;withdrawal quantifying;Incredible Baby withdrawal;viral;enterprise Buckinghamshire RAM;23972;Beauty Savings;overriding Garden Market;facilitate Island intuitive;2021-08-17T11:33:37;2021-08-17T04:32:01
3;Rubber models Fresh;calculating Usability Cotton;Computer Music Profound;Awesome;User-centric bleeding-edge Assistant;Saint dynamic challenge;66165;administration;payment deposit;Ngultrum;2021-08-17T13:49:53;2021-08-17T19:11:24
4;services Investor Bedfordshire;Buckinghamshire connecting Web;Islands Incredible;Human;programming open-source;multimedia indigo Garden;98906;out-of-the-box Dinar;cross-platform Global Account;bluetooth Botswana Canada;2021-08-17T14:52:22;2021-08-17T08:19:27
5;Guilder Dollar;XSS;AGP Automotive Mouse;Specialist Product AGP;blue Keyboard;conglomeration;19233;Customizable Western override;generating;synergize alarm;2021-08-17T06:24:52;2021-08-17T00:00:48
6;Auto;Books Florida Guarani;Light;Account one-to-one;generate Hawaii;Soft Small Market;66207;Supervisor lime Rapids;invoice matrix North;Pound;2021-08-17T14:14:06;2021-08-17T16:54:33
7;Devolved Books;intermediate Markets program;Trafficway HTTP Chair;optical USB;Books;up;25959;Regional maroon;Card GB Minnesota;model Refined overriding;2021-08-17T15:32:23;2021-08-17T17:17:55
8;Steel Cliffs plug-and-play;Response;Facilitator;white embrace;Berkshire Consultant Massachusetts;deposit Concrete;20819;Lebanon Bedfordshire;gold;sexy generation Drives;2021-08-17T09:16:55;2021-08-17T20:10:36
9;Virtual Sausages drive;copy Soft;Toys invoice Soft;Computers invoice schemas;Group Quality;Bhutanese applications Congolese;69561;orange;Idaho;Sausages;2021-08-17T00:09:01;2021-08-17T07:50:57
10;bleeding-edge Isle User-centric;microchip;magenta Junction;solid;copying;Bedfordshire application users;43880;project Cotton;Wooden state;Costa;2021-08-17T04:11:14;2021-08-17T09:29:52
