id;name;detail;object_id;object_type;field_id;field_type;entity_type;start;jhi_end;score;recognizer;pattern_name;pattern_expr;original_score;textual_explanation;supportive_context_word;validation_result;creation_date;last_updated
1;Intelligent robust;Ergonomic Rubber;94260;FILE;96787;Movies Borders;haptic Rand;10593;12879;43538;Mouse;Granite Lead;Handmade;hard Automotive;bandwidth HDD Awesome;Arkansas;Associate olive;2021-08-17T19:15:04;2021-08-17T15:32:11
2;plug-and-play;Facilitator Bacon tangible;97614;TABLE;76062;leading-edge auxiliary Manager;back;82908;361;99160;Camp e-commerce;open-source Plastic;Greens quantify Borders;Account killer;Sharable Program;monitor Investor;payment card;2021-08-17T23:32:25;2021-08-17T06:04:10
3;Plastic;reciprocal;3432;FILE;5739;Washington;Account SMTP Assistant;10267;94409;84561;global bus infrastructures;parse Avon;transmitting Corporate indexing;withdrawal;calculate;back incentivize front-end;Licensed;2021-08-17T09:52:11;2021-08-17T02:34:22
4;navigating CSS;multi-byte Loan;51170;FILE;22902;Metal Music;Program;29546;56907;37753;Table;SDR Movies Republic);Crest Practical;Unit;Lake;functionalities;Ville niches;2021-08-17T17:12:18;2021-08-17T16:13:00
5;world-class;Cambridgeshire Officer generating;19680;TABLE;88726;Bedfordshire Accounts;generate;45387;24653;45265;Infrastructure Gorgeous USB;Rustic;Forest access Steel;RAM recontextualize Territory;Creative Producer;Gold Berkshire;Hat PNG Berkshire;2021-08-17T15:22:57;2021-08-17T14:03:03
6;Synergized Rustic Guinea;Executive markets;80712;FILE;68528;initiative haptic;Sports;38808;52068;91678;Public-key quantify Forward;uniform foreground Chips;blockchains;Lead architectures;methodical Corner;Tuna;customer;2021-08-17T08:04:17;2021-08-17T06:41:15
7;Chief Licensed;Tasty incubate transmitting;99697;FILE;51693;driver Cross-group;transform maroon Bedfordshire;49848;13135;11118;Executive;Cambridgeshire;pixel;firewall Research product;Cotton bifurcated Organic;Tools;Louisiana Avon technologies;2021-08-17T23:33:52;2021-08-17T11:05:31
8;Table Iowa;TCP;78591;TABLE;6372;innovate;state Marketing;58093;34945;61791;Alabama Berkshire;parsing Baby Granite;payment Tasty;Kids interfaces structure;bypassing Grocery groupware;Investment leverage Representative;Accounts;2021-08-17T10:23:14;2021-08-17T20:09:31
9;redundant Awesome;Consultant demand-driven Games;59461;FILE;29026;Dynamic;channels navigating Plain;61688;55690;37035;PCI THX;Plastic invoice mobile;Bedfordshire Sausages;Missouri Steel invoice;open-source Fish Granite;bluetooth withdrawal;Planner application;2021-08-17T02:10:44;2021-08-17T01:55:26
10;Shoes Auto mobile;generate Qatari;30917;FILE;24159;GB virtual;virtual Fish;2203;99399;88799;enterprise pink cutting-edge;application Bedfordshire Associate;United;EXE Consultant;monitoring e-business Checking;deposit networks;Concrete;2021-08-17T22:22:45;2021-08-17T21:54:27
